sail 3 mars; shortest distance: 86687910.4073702|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
105|-150923797.77086663|-6081114.630696319|-2606107.7551772334|1864428.8405548895|0.6|-0.38753213556018923|-27.768714935952453|-12.041542697474066|296754966.78683305|155510551.6544706|67218592.5149554|341709498.2118931
106|-150929836.2297248|-6574202.259888039|-2819928.97619799|1882185.3057030311|0.6|-0.2926152354757263|-27.77017369339228|-12.042194709855472|296453116.15316206|156299105.22010309|67576264.69984427|341877773.36397356
107|-150934189.58940795|-7067313.038678942|-3033760.580880965|1899941.770851173|0.6|-0.1977311630146345|-27.771322453192177|-12.04271228817714|296148985.6611524|157087072.2220302|67933683.6901967|342046130.43731177
108|-150936858.44569743|-7560441.465333959|-3247600.1833324563|1917698.2359993148|0.6|-0.10288139050445938|-27.772161513169525|-12.04309556128306|295842577.47418314|157874446.2841236|68290846.65667826|342214568.90841544
109|-150937843.42068884|-8053582.043387662|-3461445.3999384996|1935454.7011474567|0.6|-0.008067388004725062|-27.772691178631682|-12.043344661265634|295533893.78301096|158661221.03925413|68647750.77391623|342383088.2542722
110|-150937145.16258886|-8546729.281861592|-3675293.8494591513|1953211.1662955985|0.6|0.08670937679365351|-27.77291176227877|-12.043459723423554|295222936.8055555|159447390.1295069|69004393.22059305|342551687.9522715
111|-150934764.3456531|-9039877.695398008|-3889143.1530865026|1970967.6314437403|0.6|0.18144743862827745|-27.772823584178603|-12.043440886250933|294909708.7868254|160232947.20631272|69360771.17950366|342720367.4802048
112|-150930701.6700553|-9533021.804360736|-4102990.9344884353|1988724.096591882|0.6|0.27614533471535646|-27.772426971717813|-12.043288291416115|294594211.9987761|161017885.93054703|69716881.83759859|342889126.31619006
113|-150924957.86195615|-10026156.135003464|-4316834.819881589|2006480.5617400238|0.6|0.37080160481694424|-27.771722259626728|-12.04300208377249|294276448.74036634|161802199.97269556|70072722.38605617|343057963.9388057
114|-150917533.67344373|-10519275.219594685|-4530672.438085554|2024237.0268881656|0.6|0.46541479129715696|-27.770709789956893|-12.042582411348759|293956421.3374878|162585883.0129772|70428290.02033599|343226879.8270915
115|-150908429.88248006|-11012373.596544849|-4744501.420578018|2041993.4920363075|0.6|0.5599834391785774|-27.769389912060294|-12.042029425339923|293634132.14289975|163368928.74146882|70783581.94023328|343395873.4605568
